tipo_consumo,ano,consumo
Cativo,2004,283032843
Cativo,2005,265063058
Cativo,2006,262616118
Cativo,2007,273441465
Cativo,2008,289210060
Cativo,2009,295294514
Cativo,2010,310352875
Cativo,2011,320351763
Cativo,2012,327498503
Cativo,2013,336739721
Cativo,2014,354163818
Cativo,2015,349872260
Cativo,2016,337322703
Cativo,2017,319758527
Cativo,2018,315471549
Cativo,2019,318797475
Cativo,2020,307190573
Cativo,2021,311038185
Cativo,2022,307313433
Cativo,2023,316988136
Comercial,2004,49685771
Comercial,2005,53034420
Comercial,2006,55368597
Comercial,2007,58647003
Comercial,2008,61812894
Comercial,2009,65254562
Comercial,2010,69169996
Comercial,2011,73481523
Comercial,2012,79226344
Comercial,2013,83703880
Comercial,2014,89840459
Comercial,2015,90767540
Comercial,2016,87872838
Comercial,2017,88292490
Comercial,2018,88630474
Comercial,2019,92083371
Comercial,2020,82524026
Comercial,2021,87787640
Comercial,2022,92495317
Comercial,2023,195431610
Industrial,2004,156320559
Industrial,2005,159662368
Industrial,2006,163180263
Industrial,2007,174368774
Industrial,2008,175834053
Industrial,2009,161798656
Industrial,2010,179478307
Industrial,2011,183575548
Industrial,2012,183424833
Industrial,2013,184684557
Industrial,2014,179105677
Industrial,2015,169562745
Industrial,2016,165602857
Industrial,2017,167711052
Industrial,2018,170065495
Industrial,2019,167701054
Industrial,2020,166452179
Industrial,2021,182205293
Industrial,2022,184506725
Industrial,2023,376536608
Outros,2004,47388383
Outros,2005,49994810
Outros,2006,51796209
Outros,2007,54128865
Outros,2008,56079045
Outros,2009,56476982
Outros,2010,59804775
Outros,2011,63987891
Outros,2012,67829337
Outros,2013,69846090
Outros,2014,73575466
Outros,2015,74467062
Outros,2016,75720956
Outros,2017,77102648
Outros,2018,79453190
Outros,2019,80319895
Outros,2020,79419094
Outros,2021,81319012
Outros,2022,79667512
Outros,2023,91111290
Residencial,2004,78469994
Residencial,2005,82644121
Residencial,2006,85783692
Residencial,2007,89885372
Residencial,2008,94746383
Residencial,2009,100776170
Residencial,2010,107214670
Residencial,2011,111970666
Residencial,2012,117645845
Residencial,2013,124907962
Residencial,2014,132301850
Residencial,2015,131189767
Residencial,2016,132872085
Residencial,2017,134368498
Residencial,2018,137614825
Residencial,2019,142411004
Residencial,2020,148173042
Residencial,2021,151253310
Residencial,2022,152770909
Residencial,2023,328646516
Total,2004,331865053
Total,2005,345336121
Total,2006,356129174
Total,2007,377030014
Total,2008,388472393
Total,2009,384306370
Total,2010,415667749
Total,2011,433015628
Total,2012,448126379
Total,2013,463142489
Total,2014,474823452
Total,2015,465987120
Total,2016,462068740
Total,2017,467474700
Total,2018,475764362
Total,2019,482515687
Total,2020,476568757
Total,2021,502565651
Total,2022,509440863
Total,2023,531012496
